"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;"15579492";"1182";"629";;;
;;;;"15579507";"1177";"626";;;
;;;;"15579523";"1164";"619";;;
;;;;"15579554";"1159";"617";;;
;;;;"15579570";"1142";"609";;;
;;;;"15579585";"1124";"603";;;
;;;;"15579601";"1118";"600";;;
;;;;"15579617";"1101";"592";;;
;;;;"15579632";"1086";"584";;;
;;;;"15579648";"1078";"581";;;
;;;;"15579663";"1061";"570";;;
;;;;"15579679";"1049";"561";;;
;;;;"15579695";"1044";"557";;;
;;;;"15579710";"1034";"547";;;
;;;;"15579726";"1022";"538";;;
;;;;"15579757";"1013";"529";;;
;;;;"15579773";"1009";"526";;;
;;;;"15579788";"1004";"522";;;
;;;;"15579804";"1003";"521";;;
;;;;"15579819";"1002";"521";;;
;;;;;;;"15582284";"b";
;;;;;;;"15582456";"o";
;;;;;;;"15582643";"n";
;;;;;;;"15582815";"j";
;;;;;;;"15582955";"o";
;;;;;;;"15583142";"u";
;;;;;;;"15583267";"r";
;;;;;;;"15583392";"ESPACE";
;;;;;;;"15584016";"é";
;;;;;;;"15584203";"é";
;;;;;;;"15584375";"é";
;;;;;;;"15584562";"é";
;;;;;;;"15584749";"é";
;;;;;;;"15585155";"j";
;;;;;;;"15585311";"e";
;;;;;;;"15585357";"s";
;;;;;;;"15585482";"j";
;;;;;;;"15585591";"e";
;;;;;;;"15585591";"f";
;;;;;;;"15585716";"j";
;;;;;;;"15585841";"e";
;;;;;;;"15585857";"f";
;;;;;;;"15585981";"j";
;;;;;;;"15586122";"s";
;;;;;;;"15586122";"e";
;;;;;;;"15586122";"f";
;;;;;;;"15586231";"j";
;;;;;;;"15587261";"""";
;;;;;;;"15587370";"'";
;;;;;;;"15587432";"(";
;;;;;;;"15587510";"-";
;;;;;;;"15587588";"è";
;;;;;;;"15587697";"_";
;;;;;;;"15588228";"u";
;;;;;;;"15588259";"s";
;;;;;;;"15588337";"d";
;;;;;;;"15588368";"f";
;;;;;;;"15588477";"i";
;;;;;;;"15588524";"h";
;;;;;;;"15588555";"s";
;;;;;;;"15588571";"d";
;;;;;;;"15588571";"u";
;;;;;;;"15588618";"f";
;;;;;;;"15588743";"u";
;;;;;;;"15588758";"i";
;;;;;;;"15588836";"s";
;;;;;;;"15588852";"d";
;;;;;;;"15588867";"f";
;;;;;;;"15588914";"h";
;;;;;;;"15589164";"""";
;;;;;;;"15589320";"_";
;;;;;;;"15589460";"""";
;;;;;;;"15589507";"_";
;;;;;;;"15589647";"z";
;;;;;;;"15589647";"""";
;;;;;;;"15589663";"_";
;;;;;;;"15589663";"ç";
;;;;;;;"15589772";"u";
;;;;;;;"15589788";"_";
;;;;;;;"15589866";"z";
;;;;;;;"15589881";"""";
;;;;;;;"15590022";"u";
;;;;;;;"15590022";"_";
;;;;;;;"15590037";"ç";
;;;;;;;"15590115";"z";
;;;;;;;"15590115";"""";
;;;;;;;"15590115";"r";
;;;;;;;"15590209";"u";
;;;;;;;"15590209";"_";
;;;;;;;"15590334";"_";
;;;;;;;"15590365";"z";
;;;;;;;"15590365";"""";
;;;;;;;"15590365";"r";
;;;;;;;"15590490";"_";
;;;;;;;"15590490";"ç";
;;;;;;;"15590599";"z";
;;;;;;;"15590599";"r";
;;;;;;;"15590693";"u";
;;;;;;;"15590833";"s";
;;;;;;;"15590833";"e";
;;;;;;;"15590833";"f";
;;;;;;;"15590927";"h";
;;;;;;;"15591114";"s";
;;;;;;;"15591114";"f";
;;;;"15591878";"1002";"520";;;
;;;;"15591894";"999";"517";;;
;;;;"15591909";"987";"512";;;
;;;;"15592331";"974";"512";;;
;;;;"15592362";"974";"511";;;
;;;;"15592377";"974";"511";;;
;;;;"15592393";"975";"511";;;
;;;;"15592409";"976";"511";;;
;;;;"15592440";"976";"511";;;
;;;;"15592455";"980";"514";;;
;;;;"15592455";"989";"522";;;
;;;;"15592487";"992";"524";;;
;;;;"15592502";"999";"531";;;
;;;;"15592518";"1004";"534";;;
;;;;"15592533";"1009";"534";;;
;;;;"15592549";"1010";"534";;;
;;;;"15592565";"1011";"534";;;
;;;;"15592580";"1012";"534";;;
;;;;"15592611";"1012";"534";;;
;;;;"15592627";"1012";"532";;;
;;;;"15592643";"1012";"529";;;
;;;;"15592658";"1010";"527";;;
;;;;"15592674";"1006";"524";;;
;;;;"15592689";"1004";"523";;;
;;;;"15592705";"1001";"523";;;
;;;;"15592721";"999";"523";;;
;;;;"15592767";"998";"523";;;
;;;;"15592783";"997";"523";;;
;;;;"15592799";"997";"523";;;
;;;;"15592814";"997";"523";;;
;;;;"15592845";"997";"524";;;
;;;;;;;"15594281";"ù";
;;;;;;;"15594561";"ACCENT CIRCONFLEXE";
;;;;;;;"15594858";"ù";
;;;;;;;"15595076";"$";
;;;;;;;"15595310";"*";
;;;;;;;"15599241";"TAB";
;;;;;;;"15599694";"TAB";
;;;;;;;"15600895";"TAB";
;;;;;;;"15604452";"CTRL";
;;;;;;;"15604889";"CTRL";
;;;;;;;"15605201";"CTRL";
;;;;;;;"15605450";"CTRL";
;;;;;;;"15605794";"WINDOWS GAUCHE";
;;;;;;;"15606074";"WINDOWS GAUCHE";
;;;;;;;"15606511";"CTRL";
;;;;;;;"15606652";"WINDOWS GAUCHE";
;;;;;;;"15607400";"WINDOWS GAUCHE";
;;;;;;;"15607400";"CTRL";
;;;;;;;"15607868";"CTRL";
;;;;;;;"15607900";"WINDOWS GAUCHE";
;;;;;;;"15608352";"CTRL";
;;;;;;;"15608633";"WINDOWS GAUCHE";
;;;;;;;"15609132";"WINDOWS GAUCHE";
;;;;;;;"15609179";"WINDOWS GAUCHE";
;;;;;;;"15609226";"WINDOWS GAUCHE";
;;;;;;;"15609257";"WINDOWS GAUCHE";
;;;;;;;"15609304";"WINDOWS GAUCHE";
;;;;;;;"15609335";"WINDOWS GAUCHE";
;;;;;;;"15609382";"WINDOWS GAUCHE";
;;;;;;;"15609850";"CTRL";
;;;;;;;"15610224";"\";
;;;;;;;"15612673";"CTRL";
;;;;;;;"15613063";"TAB";
;;;;;;;"15614280";"CTRL";
;;;;;;;"15614405";"TAB";
;;;;;;;"15615637";"CTRL";
;;;;;;;"15615809";"TAB";
;;;;;;;"15616604";"CTRL";
;;;;;;;"15616698";"TAB";
;;;;;;;"15617010";"TAB";
;;;;;;;"15617260";"TAB";
;;;;;;;"15618086";"TAB";
;;;;;;;"15618664";"TAB";
;;;;;;;"15619132";"TAB";
;;;;;;;"15619553";"TAB";
;;;;;;;"15619771";"TAB";
;;;;;;;"15619958";"TAB";
;;;;;;;"15620099";"TAB";
;;;;;;;"15620458";"TAB";
;;;;;;;"15620879";"TAB";
;;;;;;;"15621160";"ENTREE";
;;;;;;;"15623765";"j";
;;;;;;;"15623874";"e";
;;;;;;;"15624857";"ESPACE";
;;;;;;;"15625091";"v";
;;;;;;;"15625200";"a";
;;;;;;;"15625340";"i";
;;;;;;;"15625465";"s";
;;;;;;;"15625590";"ESPACE";
;;;;;;;"15625715";"a";
;;;;;;;"15625808";"u";
;;;;;;;"15625980";"ESPACE";
;;;;;;;"15626557";"t";
;;;;;;;"15626666";"o";
;;;;;;;"15626791";"i";
;;;;;;;"15626978";"l";
;;;;;;;"15627072";"e";
;;;;;;;"15627290";"t";
;;;;;;;"15627415";"t";
;;;;;;;"15627524";"e";
;;;;;;;"15627696";"ESPACE";
;;;;;;;"15628897";"é";
;;;;;;;"15629147";"é";
;;;;;;;"15629396";"é";
;;;;;;;"15629662";"""";
;;;;;;;"15629911";"""";
;;;;;;;"15630925";"²";
;;;;;;;"15631019";"&";
;;;;;;;"15631081";"é";
;;;;;;;"15631112";"""";
;;;;;;;"15631159";"'";
;;;;;;;"15631206";"(";
;;;;;;;"15631222";"-";
;;;;;;;"15631253";"è";
;;;;;;;"15631300";"_";
;;;;;;;"15631346";"ç";
;;;;;;;"15631378";"à";
;;;;;;;"15631424";")";
;;;;;;;"15631643";"à";
;;;;;;;"15631721";"ç";
;;;;;;;"15631752";"_";
;;;;;;;"15631814";"è";
;;;;;;;"15631846";"a";
;;;;;;;"15631892";"-";
;;;;;;;"15631955";"'";
;;;;;;;"15631955";"_";
;;;;;;;"15632048";"r";
;;;;;;;"15632111";"f";
